77,BFIN,BFI Finance  Indonesia Tbk.,15.967.115.620,Utama
78,BGTG,Bank Ganesha Tbk.,23.731.287.132,Pengembangan
79,BHIT,MNC Asia Holding Tbk.,86.068.156.705,Pemantauan Khusus
80,BIKA,Binakarya Jaya Abadi Tbk.,592.280.000,Pemantauan Khusus
81,BIMA,Primarindo Asia Infrastructure,608.175.716,Pengembangan
82,BINA,Bank Ina Perdana Tbk.,6.073.369.498,Utama
83,BIPI,Astrindo Nusantara Infrastrukt,63.710.196.917,Pengembangan
84,BIPP,Bhuwanatala Indah Permai Tbk.,5.028.669.376,Pemantauan Khusus
85,BIRD,Blue Bird Tbk.,2.502.100.000,Utama
86,BISI,BISI International Tbk.,3.000.000.000,Utama
87,BJBR,Bank Pembangunan Daerah Jawa B,10.416.229.249,Utama
88,BJTM,Bank Pembangunan Daerah Jawa T,14.865.343.101,Utama
89,BKDP,Bukit Darmo Property Tbk,7.513.992.252,Pemantauan Khusus
90,BKSL,Sentul City Tbk.,167.708.902.705,Pemantauan Khusus
91,BKSW,Bank QNB Indonesia Tbk.,34.806.467.881,Pengembangan
92,BLTA,Berlian Laju Tanker Tbk,25.940.187.103,Pemantauan Khusus
93,BLTZ,Graha Layar Prima Tbk.,873.937.142,Pemantauan Khusus
94,BMAS,Bank Maspion Indonesia Tbk.,17.921.635.680,Pemantauan Khusus
95,BMRI,Bank Mandiri (Persero) Tbk.,92.399.999.996,Utama
96,BMSR,Bintang Mitra Semestaraya Tbk,1.159.200.024,Pengembangan
97,BMTR,Global Mediacom Tbk.,16.583.997.586,Utama
98,BNBA,Bank Bumi Arta Tbk.,3.354.120.000,Pengembangan
99,BNBR,Bakrie & Brothers Tbk,160.057.457.509,Pemantauan Khusus
100,BNGA,Bank CIMB Niaga Tbk.,24.890.783.784,Utama
101,BNII,Bank Maybank Indonesia Tbk.,75.357.433.911,Utama
102,BNLI,Bank Permata Tbk.,35.819.545.925,Pengembangan
103,BOLT,Garuda Metalindo Tbk.,2.343.750.000,Pengembangan
104,BPFI,Woori Finance Indonesia Tbk.,2.673.995.362,Pengembangan
105,BPII,Batavia Prosperindo Internasio,10.309.973.240,Pengembangan
106,BRAM,Indo Kordsa Tbk.,450.056.980,Pengembangan
107,BRMS,Bumi Resources Minerals Tbk.,141.784.040.338,Utama
